shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"31-328-sj2-1.1.R","-33.8793459155006","151.236197636045","1","0"
"31-328-sj2-1.1.R","-33.8790641186614","151.236270102223","2","32.0156211871642"
"31-328-sj2-1.1.R","-33.8791241886502","151.236618742602","3","65.0004661921055"
"31-328-sj2-1.1.R","-33.879211532399","151.236698681636","4","77.2070218078392"
"31-328-sj2-1.1.R","-33.8796196220385","151.236621667563","5","123.098197430174"
"31-328-sj2-1.1.R","-33.8797178172816","151.236648133632","6","134.278537317673"
"31-328-sj2-1.1.R","-33.8797766920859","151.236769872393","7","147.316942128079"
"31-328-sj2-1.1.R","-33.879834903025","151.237172434791","8","185.171928589574"
"31-328-sj2-1.1.R","-33.8798480624656","151.237313514598","9","198.32487502754"
"31-328-sj2-1.1.R","-33.8798308950938","151.237550312095","10","220.347590573085"
"31-328-sj2-1.1.R","-33.8795344526469","151.237524829558","11","253.362738611523"
"31-328-sj2-1.1.R","-33.879330554293","151.237428315457","12","277.714329935295"
"31-328-sj2-1.1.R","-33.8792072336254","151.237346594044","13","293.366805777794"
"31-328-sj2-1.1.R","-33.8790448845777","151.237090107239","14","323.199673558146"
"31-328-sj2-1.1.R","-33.8786177837016","151.235102992177","15","323.199673558146"
"31-328-sj2-1.1.R","-33.878429188827","151.234823608418","16","356.50132516884"
"31-328-sj2-1.1.R","-33.8780273262124","151.234458058943","17","412.537028073327"
"31-328-sj2-1.1.R","-33.8775605593464","151.233884065767","18","486.813538492167"
"31-328-sj2-1.1.R","-33.8775605593464","151.233884065767","19","486.813538492167"
"31-328-sj2-1.1.R","-33.8773528589532","151.233636148704","20","519.371179684367"
"31-328-sj2-1.1.R","-33.8771829912138","151.233336095153","21","552.971774917189"
"31-328-sj2-1.1.R","-33.8771417302505","151.23322603561","22","564.152114804688"
"31-328-sj2-1.1.R","-33.8769533233366","151.232417380868","23","641.946716159795"
"31-328-sj2-1.1.R","-33.8768282428308","151.231601058918","24","718.849251878717"
"31-328-sj2-1.1.R","-33.8766117255702","151.231871199296","25","753.562361794136"
"31-328-sj2-1.1.R","-33.8764172776682","151.232023610356","26","779.369337595264"
"31-328-sj2-1.1.R","-33.8761433637671","151.232128884072","27","811.322428212605"
"31-328-sj2-1.1.R","-33.8758364401252","151.232146111307","28","845.454524544357"
"31-328-sj2-1.1.R","-33.875661464913","151.232256276855","29","867.409022944457"
"31-328-sj2-1.1.R","-33.8755959068357","151.232328646432","30","877.308517881069"
"31-328-sj2-1.1.R","-33.8755565899681","151.232423916928","31","887.157375682865"
"31-328-sj2-1.1.R","-33.8754540304707","151.232786100511","32","922.597465976204"
"31-328-sj2-1.1.R","-33.8751611028235","151.233182073544","33","971.638265317161"
"31-328-sj2-1.1.R","-33.8751611028235","151.233182073544","34","971.638265317161"
"31-328-sj2-1.1.R","-33.874755787674","151.233702102972","35","1037.58521369235"
"31-328-sj2-1.1.R","-33.8745598534727","151.233897639382","36","1065.90481820936"
"31-328-sj2-1.1.R","-33.8745598534727","151.233897639382","37","1065.90481820936"
"31-328-sj2-1.1.R","-33.8737379093528","151.234742694368","38","1186.1878178394"
"31-328-sj2-1.1.R","-33.8727116883556","151.235502015787","39","1320.15049921"
"31-328-sj2-1.1.R","-33.8727116883556","151.235502015787","40","1320.15049921"
"31-328-sj2-1.1.R","-33.8724898825596","151.235663859671","41","1348.99490941371"
"31-328-sj2-1.1.R","-33.8713653790263","151.236137467334","42","1481.39581575502"
"31-328-sj2-1.1.R","-33.8711570228153","151.23617036014","43","1504.74105081488"
"31-328-sj2-1.1.R","-33.8709407861301","151.236170459708","44","1528.76187511381"
"31-328-sj2-1.1.R","-33.8709407861301","151.236170459708","45","1528.76187511381"
"31-328-sj2-1.1.R","-33.8706705830914","151.236167888594","46","1558.77853715341"
"31-328-sj2-1.1.R","-33.8706188445321","151.236100522098","47","1567.26381852765"
"31-328-sj2-1.1.R","-33.8705648781783","151.236097851411","48","1573.34658105795"
"31-328-sj2-1.1.R","-33.8705180497342","151.236149538916","49","1580.41764886982"
"31-328-sj2-1.1.R","-33.8705240737051","151.23623624495","50","1588.47990661811"
"31-328-sj2-1.1.R","-33.8704592564297","151.236287042087","51","1597.08223188516"
"31-328-sj2-1.1.R","-33.8701099604073","151.236226551843","52","1636.28682345298"
"31-328-sj2-1.1.R","-33.869422302329","151.236311330533","53","1713.07875011197"
"31-328-sj2-1.1.R","-33.8693297592817","151.236382356606","54","1725.28530572771"
"31-328-sj2-1.1.R","-33.8690154920678","151.236874441374","55","1782.71352178915"
"31-328-sj2-1.1.R","-33.8690154920678","151.236874441374","56","1782.71352178915"
"31-328-sj2-1.1.R","-33.8688630406959","151.237115313768","57","1810.7313732414"
"31-328-sj2-1.1.R","-33.8688304869364","151.237275714006","58","1826.02843178217"
"31-328-sj2-1.1.R","-33.8688982256865","151.238186332088","59","1910.74560831681"
"31-328-sj2-1.1.R","-33.8688984611144","151.238963999231","60","1982.80808121359"
"31-328-sj2-1.1.R","-33.8688984611144","151.238963999231","61","1982.80808121359"
"31-328-sj2-1.1.R","-33.8689007677915","151.239158527285","62","2000.83583759091"
"31-328-sj2-1.1.R","-33.868595331114","151.239132601229","63","2034.8505402943"
"31-328-sj2-1.1.R","-33.8687406606715","151.240144267234","64","2129.97677221799"
"31-328-sj2-1.1.R","-33.8689895292952","151.240243000452","65","2159.09721177512"
"31-328-sj2-1.1.R","-33.8689895292952","151.240243000452","66","2159.09721177512"
"31-328-sj2-1.1.R","-33.8691491976418","151.24031571419","67","2178.07087773613"
"31-328-sj2-1.1.R","-33.8698986265379","151.240007209198","68","2266.09360207479"
"31-328-sj2-1.1.R","-33.8701788623465","151.239718664147","69","2307.13017113215"
"31-328-sj2-1.1.R","-33.8704733704182","151.239538833774","70","2343.84529063353"
"31-328-sj2-1.1.R","-33.8709841143865","151.239358910698","71","2402.98072840142"
"31-328-sj2-1.1.R","-33.8708613054199","151.238477945907","72","2485.74545518765"
"31-328-sj2-1.1.R","-33.8708613054199","151.238477945907","73","2485.74545518765"
"31-328-sj2-1.1.R","-33.8708252494511","151.238216936153","74","2510.26075653191"
"31-328-sj2-1.1.R","-33.8712696091271","151.23787170157","75","2569.08252121132"
"31-328-sj2-1.1.R","-33.8714700854695","151.237806019509","76","2592.16931397255"
"31-328-sj2-1.1.R","-33.8718129859271","151.237790593106","77","2630.28755107765"
"31-328-sj2-1.1.R","-33.8728698638516","151.237972535973","78","2748.89615110311"
"31-328-sj2-1.1.R","-33.8728698638516","151.237972535973","79","2748.89615110311"
"31-328-sj2-1.1.R","-33.8729324529389","151.237986436315","80","2755.96721891497"
"31-328-sj2-1.1.R","-33.8731066892332","151.237897851805","81","2776.9910149566"
"31-328-sj2-1.1.R","-33.8732936345151","151.237701882902","82","2804.57724340487"
"31-328-sj2-1.1.R","-33.8736472267931","151.237114512814","83","2871.69654018307"
"31-328-sj2-1.1.R","-33.8738719243253","151.236607168945","84","2924.92247371175"
"31-328-sj2-1.1.R","-33.8742173426589","151.236257017795","85","2975.17185181736"
"31-328-sj2-1.1.R","-33.8742173426589","151.236257017795","86","2975.17185181736"
"31-328-sj2-1.1.R","-33.8743732179404","151.236178321304","87","2993.96014604541"
"31-328-sj2-1.1.R","-33.8744155904744","151.236256028961","88","3002.56247131246"
"31-328-sj2-1.1.R","-33.8745047916272","151.23628204715","89","3012.76051033964"
"31-328-sj2-1.1.R","-33.8745793461265","151.236210126888","90","3023.39065615238"
"31-328-sj2-1.1.R","-33.8745909398905","151.236135090201","91","3030.46172396424"
"31-328-sj2-1.1.R","-33.8751425681296","151.236075981308","92","3091.98407762533"
"31-328-sj2-1.1.R","-33.8753628893954","151.235957267189","93","3118.81689335533"
"31-328-sj2-1.1.R","-33.8755599405736","151.235729384465","94","3149.23070600682"
"31-328-sj2-1.1.R","-33.8756674187767","151.235486266048","95","3174.72580357478"
"31-328-sj2-1.1.R","-33.8756674187767","151.235486266048","96","3174.72580357478"
"31-328-sj2-1.1.R","-33.8758228386509","151.235159106188","97","3209.61133065981"
"31-328-sj2-1.1.R","-33.8760064391678","151.235060175114","98","3231.97201043481"
"31-328-sj2-1.1.R","-33.8766355913247","151.234842869044","99","3304.70439661868"
"31-328-sj2-1.1.R","-33.8772861579308","151.234788647741","100","3377.14747772378"
"31-328-sj2-1.1.R","-33.878123463379","151.235067725938","101","3473.68762481295"
"31-328-sj2-1.1.R","-33.878123463379","151.235067725938","102","3473.68762481295"
"31-328-sj2-1.1.R","-33.8783018661168","151.235119763061","103","3494.08370286733"
"31-328-sj2-1.1.R","-33.8785094797097","151.23510843409","104","3517.17049562856"
"31-328-sj2-1.1.R","-33.8785762367614","151.235262966221","105","3533.29501112515"
"31-328-sj2-1.1.R","-33.8790270532778","151.237607723329","106","3756.24343565424"
"31-328-sj2-1.1.R","-33.8795138633612","151.237599424811","107","3810.3267047862"
"31-328-sj2-1.1.R","-33.8798189286175","151.237636136784","108","3844.38547751805"
"31-328-sj2-1.1.R","-33.8798480624656","151.237313514598","109","3874.45207027479"
"31-328-sj2-1.1.R","-33.8797766920859","151.236769872393","110","3925.44226541072"
"31-328-sj2-1.1.R","-33.8797705889935","151.236423901052","111","3957.50470449448"
"31-328-sj2-1.1.R","-33.8797326737547","151.236216782909","112","3977.15158719887"
"31-328-sj2-1.1.R","-33.8791960631534","151.236363050989","113","4038.28259406119"
